City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Nikolskoye,RU,2021-08-08 22:36:29,59.7035,30.7861,64.29,97,100,4.56,overcast clouds
1,Longyearbyen,SJ,2021-08-08 22:36:29,78.2186,15.6401,40.84,93,75,6.91,broken clouds
2,Bethel,US,2021-08-08 22:36:30,41.3712,-73.414,80.71,73,90,5.75,light rain
3,Shunyi,CN,2021-08-08 22:36:30,40.125,116.6453,69.75,94,20,11.18,light rain
4,Rikitea,PF,2021-08-08 22:36:30,-23.1203,-134.9692,74.52,75,1,12.21,clear sky
5,Khash,IR,2021-08-08 22:36:31,28.2211,61.2158,79.11,14,1,4.25,clear sky
6,Souillac,MU,2021-08-08 22:36:31,-20.5167,57.5167,68.36,100,75,4.61,light rain
7,Bluff,NZ,2021-08-08 22:36:32,-46.6,168.3333,39.79,78,96,14.83,overcast clouds
8,Otukpo,NG,2021-08-08 22:36:32,7.1913,8.1329,71.08,96,97,7.09,light rain
9,Thinadhoo,MV,2021-08-08 22:30:37,0.5333,72.9333,80.04,77,89,3.83,overcast clouds
10,Airai,TL,2021-08-08 22:30:38,-8.9266,125.4092,59.94,74,25,2.13,scattered clouds
11,Tasiilaq,GL,2021-08-08 22:30:38,65.6145,-37.6368,46.56,94,100,19.71,moderate rain
12,Cape Town,ZA,2021-08-08 22:30:39,-33.9258,18.4232,55.11,93,75,1.01,light rain
13,Vaini,TO,2021-08-08 22:30:39,-21.2,-175.2,73.56,78,75,2.3,broken clouds
14,Tra Vinh,VN,2021-08-08 22:30:39,9.9347,106.3453,78.58,91,33,7.58,scattered clouds
15,Ngunguru,NZ,2021-08-08 22:30:40,-35.6167,174.5,48.16,68,99,16.96,moderate rain
16,Talcahuano,CL,2021-08-08 22:30:15,-36.7167,-73.1167,49.68,71,0,8.05,clear sky
17,Ushuaia,AR,2021-08-08 22:30:40,-54.8,-68.3,42.46,61,40,9.22,scattered clouds
18,Castro,BR,2021-08-08 22:30:41,-24.7911,-50.0119,61.74,58,99,4.0,overcast clouds
19,Aklavik,CA,2021-08-08 22:30:41,68.2191,-135.0107,56.12,42,8,4.23,clear sky
20,Khatanga,RU,2021-08-08 22:30:42,71.9667,102.5,52.16,72,100,11.3,light rain
21,Kapaa,US,2021-08-08 22:30:42,22.0752,-159.319,86.32,64,40,3.0,scattered clouds
22,Talnakh,RU,2021-08-08 22:30:43,69.4865,88.3972,60.91,61,1,4.23,clear sky
23,Mackay,AU,2021-08-08 22:30:12,-21.15,149.2,68.04,77,75,11.5,broken clouds
24,Albany,US,2021-08-08 22:30:40,42.6001,-73.9662,84.85,58,22,5.88,few clouds
25,Camacha,PT,2021-08-08 22:30:44,33.0833,-16.3333,67.53,73,40,8.05,scattered clouds
26,Jamestown,US,2021-08-08 22:26:55,42.097,-79.2353,83.52,71,1,3.0,clear sky
27,Puerto Ayora,EC,2021-08-08 22:27:07,-0.7393,-90.3518,75.16,84,52,7.0,broken clouds
28,Hobart,AU,2021-08-08 22:26:51,-42.8794,147.3294,45.1,88,40,3.0,scattered clouds
29,Saint George,US,2021-08-08 22:27:26,37.1041,-113.5841,106.27,11,1,1.99,clear sky
30,Kavieng,PG,2021-08-08 22:27:19,-2.5744,150.7967,82.31,75,99,10.51,light rain
31,Mar Del Plata,AR,2021-08-08 22:30:28,-38.0023,-57.5575,50.02,71,0,9.22,clear sky
32,Vestmannaeyjar,IS,2021-08-08 22:30:45,63.4427,-20.2734,56.3,80,86,8.55,overcast clouds
33,Sarangarh,IN,2021-08-08 22:30:46,21.6,83.0833,79.88,77,78,4.79,broken clouds
34,Cidreira,BR,2021-08-08 22:30:46,-30.1811,-50.2056,60.22,91,1,10.33,clear sky
35,Ornskoldsvik,SE,2021-08-08 22:30:47,63.2909,18.7153,62.42,100,90,9.22,moderate rain
36,Tuktoyaktuk,CA,2021-08-08 22:30:47,69.4541,-133.0374,48.2,76,75,8.05,broken clouds
37,Lompoc,US,2021-08-08 22:30:48,34.6391,-120.4579,82.22,69,1,8.01,clear sky
38,Thompson,CA,2021-08-08 22:28:52,55.7435,-97.8558,69.96,73,40,9.22,smoke
39,Howard Springs,AU,2021-08-08 22:30:48,-12.497,131.047,67.91,78,3,5.91,clear sky
40,Arcata,US,2021-08-08 22:28:23,40.8665,-124.0828,83.68,73,40,1.01,scattered clouds
41,Chokurdakh,RU,2021-08-08 22:30:49,70.6333,147.9167,65.73,43,57,14.41,broken clouds
42,Kruisfontein,ZA,2021-08-08 22:30:49,-34.0033,24.7314,52.88,89,100,6.85,overcast clouds
43,Arlit,NE,2021-08-08 22:30:50,18.7369,7.3853,97.0,24,95,5.08,overcast clouds
44,Bredasdorp,ZA,2021-08-08 22:30:50,-34.5322,20.0403,53.28,87,100,13.8,moderate rain
45,Delcevo,MK,2021-08-08 22:30:51,41.9672,22.7694,66.02,51,0,1.23,clear sky
46,Cabo San Lucas,MX,2021-08-08 22:30:01,22.8909,-109.9124,93.61,70,40,11.5,scattered clouds
47,Blagoyevo,RU,2021-08-08 22:30:51,63.3667,47.9167,51.8,92,100,3.76,moderate rain
48,Galle,LK,2021-08-08 22:30:52,6.0367,80.217,77.85,88,95,9.86,overcast clouds
49,Severo-Kurilsk,RU,2021-08-08 22:30:52,50.6789,156.125,55.6,88,57,11.48,broken clouds
50,Dikson,RU,2021-08-08 22:30:53,73.5069,80.5464,42.42,95,1,6.71,clear sky
51,Saryg-Sep,RU,2021-08-08 22:30:53,51.5,95.6,52.21,90,36,3.11,scattered clouds
52,Araouane,ML,2021-08-08 22:30:54,18.9048,-3.5265,96.85,25,27,15.1,scattered clouds
53,Dunedin,NZ,2021-08-08 22:30:41,-45.8742,170.5036,41.81,72,86,3.0,overcast clouds
54,Tambo,PE,2021-08-08 22:30:54,-14.8,-73.9167,39.74,40,25,6.64,scattered clouds
55,Atuona,PF,2021-08-08 22:30:55,-9.8,-139.0333,77.77,79,23,21.03,light rain
56,Poya,NC,2021-08-08 22:30:55,-21.35,165.15,71.24,48,51,10.42,broken clouds
57,Butaritari,KI,2021-08-08 22:26:45,3.0707,172.7902,83.64,62,56,11.34,broken clouds
58,Timmins,CA,2021-08-08 22:30:13,48.4669,-81.3331,64.22,100,90,9.22,mist
59,Lagoa,PT,2021-08-08 22:30:56,39.05,-27.9833,71.67,87,11,19.44,few clouds
60,Punta Arenas,CL,2021-08-08 22:30:56,-53.15,-70.9167,42.91,70,90,18.41,overcast clouds
61,Hilo,US,2021-08-08 22:30:57,19.7297,-155.09,80.33,65,90,13.8,overcast clouds
62,Lubango,AO,2021-08-08 22:30:57,-14.9172,13.4925,57.79,39,28,3.96,scattered clouds
63,Port Alfred,ZA,2021-08-08 22:30:58,-33.5906,26.891,59.58,83,50,14.52,scattered clouds
64,Veraval,IN,2021-08-08 22:30:58,20.9,70.3667,81.18,78,100,8.5,overcast clouds
65,Barrow,US,2021-08-08 22:26:58,71.2906,-156.7887,39.22,88,90,10.36,overcast clouds
66,Kahului,US,2021-08-08 22:29:35,20.8947,-156.47,87.82,52,20,24.16,few clouds
67,Havoysund,NO,2021-08-08 22:28:29,70.9963,24.6622,67.08,66,52,11.01,broken clouds
68,Lorengau,PG,2021-08-08 22:30:59,-2.0226,147.2712,82.76,76,68,8.9,broken clouds
69,Buraydah,SA,2021-08-08 22:31:00,26.326,43.975,93.65,14,87,9.71,overcast clouds
70,Bridgetown,BB,2021-08-08 22:29:03,13.1,-59.6167,82.89,78,20,18.41,few clouds
71,Katubao,PH,2021-08-08 22:31:00,5.8892,124.8294,80.44,75,100,2.26,light rain
72,Saskylakh,RU,2021-08-08 22:31:01,71.9167,114.0833,60.44,64,100,6.98,overcast clouds
73,Mount Gambier,AU,2021-08-08 22:31:01,-37.8333,140.7667,46.31,93,90,8.05,overcast clouds
74,Sakakah,SA,2021-08-08 22:31:01,29.9697,40.2064,90.97,21,0,9.82,clear sky
75,Inuvik,CA,2021-08-08 22:31:02,68.3499,-133.7218,56.16,54,75,4.61,broken clouds
76,Sibenik,HR,2021-08-08 22:31:02,43.7272,15.9058,83.86,53,44,0.49,scattered clouds
77,Busselton,AU,2021-08-08 22:26:26,-33.65,115.3333,53.1,53,100,22.93,overcast clouds
78,Sulphur Springs,US,2021-08-08 22:31:03,33.1385,-95.6011,95.92,46,40,14.97,scattered clouds
79,Copacabana,CO,2021-08-08 22:26:09,6.3463,-75.5089,73.83,91,77,2.51,broken clouds
80,Ouro Branco,BR,2021-08-08 22:31:04,-20.5208,-43.6919,57.63,77,98,4.09,overcast clouds
81,Kodiak,US,2021-08-08 22:31:05,57.79,-152.4072,63.91,48,40,11.5,scattered clouds
82,Biak,ID,2021-08-08 22:31:05,-0.9131,122.8766,75.45,86,88,5.97,overcast clouds
83,Maniitsoq,GL,2021-08-08 22:31:05,65.4167,-52.9,42.37,81,49,0.51,scattered clouds
84,Piet Retief,ZA,2021-08-08 22:31:06,-27.0071,30.8132,48.18,27,4,5.64,clear sky
85,Ponta Do Sol,PT,2021-08-08 22:26:45,32.6667,-17.1,71.01,74,27,3.4,scattered clouds
86,Provideniya,RU,2021-08-08 22:31:07,64.3833,-173.3,46.51,76,75,11.18,broken clouds
87,Hofn,IS,2021-08-08 22:31:07,64.2539,-15.2082,55.9,76,15,2.19,few clouds
88,Bichura,RU,2021-08-08 22:31:08,50.5881,107.6022,55.45,82,32,3.33,scattered clouds
89,Hermanus,ZA,2021-08-08 22:31:08,-34.4187,19.2345,53.8,86,100,17.4,moderate rain
90,Sorland,NO,2021-08-08 22:31:09,67.667,12.6934,57.4,83,71,13.8,broken clouds
91,Adrar,MR,2021-08-08 22:31:09,20.5022,-10.0711,88.18,18,9,10.6,clear sky
92,Geraldton,AU,2021-08-08 22:31:10,-28.7667,114.6,63.01,82,40,12.66,light rain
93,Port Blair,IN,2021-08-08 22:31:10,11.6667,92.75,81.79,83,100,9.66,overcast clouds
94,Sur,OM,2021-08-08 22:31:10,22.5667,59.5289,86.94,60,10,10.13,clear sky
95,Dingle,PH,2021-08-08 22:31:11,10.9995,122.6711,77.63,89,100,1.7,light rain
96,East London,ZA,2021-08-08 22:30:33,-33.0153,27.9116,63.68,68,37,15.77,scattered clouds
97,Caxias,PT,2021-08-08 22:31:11,38.7031,-9.2767,65.59,74,20,11.99,few clouds
