City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Bethel,US,80.71,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
5,Khash,IR,79.11,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
14,Tra Vinh,VN,78.58,scattered clouds,9.9347,106.3453,Hồng Ân
21,Kapaa,US,86.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Jamestown,US,83.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Kavieng,PG,82.31,light rain,-2.5744,150.7967,Nusa Island Retreat
33,Sarangarh,IN,79.88,broken clouds,21.6,83.0833,JAGDISH STAINLESS STEEL WORK SHOP
37,Lompoc,US,82.22,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
40,Arcata,US,83.68,scattered clouds,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
48,Galle,LK,77.85,overcast clouds,6.0367,80.217,Amangalla
55,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
57,Butaritari,KI,83.64,broken clouds,3.0707,172.7902,Isles Sunset Lodge
61,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
64,Veraval,IN,81.18,overcast clouds,20.9,70.3667,Lords Inn Somnath
66,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
68,Lorengau,PG,82.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
70,Bridgetown,BB,82.89,few clouds,13.1,-59.6167,Hilton Barbados Resort
71,Katubao,PH,80.44,light rain,5.8892,124.8294,IML Ecopark
76,Sibenik,HR,83.86,scattered clouds,43.7272,15.9058,Hotel Jadran
82,Biak,ID,75.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
93,Port Blair,IN,81.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
94,Sur,OM,86.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
95,Dingle,PH,77.63,light rain,10.9995,122.6711,SEGAYA PROPERTY
104,Victoria,HK,86.05,overcast clouds,22.2855,114.1577,Mini Hotel Central
117,Batticaloa,LK,78.67,overcast clouds,7.7102,81.6924,Grand Star Guest House
118,Hobyo,SO,76.39,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
119,Hanting,CN,75.96,light rain,36.7708,119.2108,Weifang Xinhongda Guesthouse
120,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
121,Tay Ninh,VN,78.28,broken clouds,11.3,106.1,Thanh Tuyền Hotel
132,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
134,Istisu,AZ,77.5,broken clouds,40.9457,48.0738,Shirvan Resort (Halal)
140,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
141,Samarai,PG,77.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
143,Humaita,BR,88.63,broken clouds,-7.5061,-63.0208,Corrêa Hotel
153,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
157,Moussoro,TD,77.77,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
159,Takoradi,GH,75.7,broken clouds,4.8845,-1.7554,Raybow International Hotel
160,Kasukabe,JP,86.04,light rain,35.9764,139.7536,やまや新館
162,Tateyama,JP,86.02,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
164,Cape Coast,GH,75.09,broken clouds,5.1053,-1.2466,Samrit Hotel
165,Shenjiamen,CN,79.12,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
166,Trincomalee,LK,80.35,overcast clouds,8.5711,81.2335,Welcombe Hotel
167,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
168,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
174,Namatanai,PG,82.22,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
178,Odweyne,SO,77.18,broken clouds,9.4092,45.064,Eng Hiirey House
179,Analipsis,GR,82.94,clear sky,35.3167,25.5667,Castello Village Resort
182,Katsuura,JP,86.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
185,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
186,Sao Filipe,CV,79.02,scattered clouds,14.8961,-24.4956,Hotel Xaguate
187,Pawa,PH,80.76,overcast clouds,13.1747,123.7328,Hotel St. Ellis
193,Along,IN,76.35,overcast clouds,28.1667,94.7667,Hotel West
196,Faanui,PF,78.96,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
197,Bandarbeyla,SO,76.33,broken clouds,9.4942,50.8122,JABIR HOTEL
200,Stepnoye,RU,76.68,overcast clouds,51.4,46.8667,"Hotel Valentine, Haute-Garonne"
209,Plymouth,US,80.62,clear sky,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
212,Hithadhoo,MV,79.81,overcast clouds,-0.6,73.0833,Scoop Guest House
213,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
214,Gotsu,JP,75.85,overcast clouds,35.0,132.2167,Yurusato
215,Itoman,JP,80.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
218,Labrea,BR,83.68,few clouds,-7.2586,-64.7981,Hotel Novo Horizonte
220,Naze,JP,79.72,clear sky,28.3667,129.4833,Amami Port Tower Hotel
222,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
225,Westport,US,80.29,overcast clouds,41.1415,-73.3579,The Westport Inn
226,Bellevue,US,75.88,broken clouds,47.6104,-122.2007,The Westin Bellevue
227,Puerto Plata,DO,87.64,scattered clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
229,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
234,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
236,Bengkulu,ID,75.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
241,Guerrero Negro,MX,78.78,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
250,Bagua Grande,PE,86.04,scattered clouds,-5.7561,-78.4411,HOTELNIEVA
252,Batagay,RU,75.22,few clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
254,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
255,Cabatuan,PH,79.0,light rain,10.8794,122.486,ROREM'S BOARDING HOUSE
256,Jacareacanga,BR,85.17,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
